,species.name,geo.distribution
1,Halichoeres_leucurus,Western Pacific
2,Halichoeres_nigrescens,Indo-West Pacific
3,Halichoeres_binotopsis,Western Pacific
4,Halichoeres_papilionaceus,Western Central Pacific
5,Halichoeres_melanurus,Western Pacific
6,Halichoeres_argus,Indo-West Pacific
7,Halichoeres_richmondi,Western Pacific
8,Halichoeres_marginatus,Indo-Pacific
9,Halichoeres_brownfieldi,
10,Coris_pictoides,
11,Halichoeres_prosopeion,
12,Coris_aurilineata,
13,Halichoeres_solorensis,
14,Halichoeres_podostigma,
15,Halichoeres_chloropterus,
16,Coris_batuensis,
17,Halichoeres_nebulosus,
18,Halichoeres_margaritaceus,
19,Halichoeres_miniatus,
20,Halichoeres_ornatissimus,
21,Halichoeres_cosmetus,
22,Halichoeres_melasmapomus,
23,Halichoeres_biocellatus,
24,Halichoeres_trispilus,
25,Halichoeres_iridis,
26,Halichoeres_chrysus,
27,Halichoeres_leucoxanthus,
28,Macropharyngodon_ornatus,
29,Macropharyngodon_cyanoguttatus,
30,Macropharyngodon_meleagris,
31,Macropharyngodon_geoffroy,
32,Macropharyngodon_choati,
33,Macropharyngodon_negrosensis,
34,Macropharyngodon_bipartitus,
35,Macropharyngodon_kuiteri,
36,Halichoeres_lapillus,
37,Halichoeres_trimaculatus,
38,Halichoeres_scapularis,
39,Halichoeres_hortulanus,
40,Halichoeres_zeylonicus,
41,Halichoeres_hartzfeldii,
42,Halichoeres_pelicieri,
43,Leptojulis_cyanopleura,
44,Thalassoma_trilobatum,
45,Thalassoma_purpureum,
46,Thalassoma_virens,
47,Thalassoma_cupido,
48,Thalassoma_loxum,
49,Thalassoma_lucasanum,
50,Thalassoma_robertsoni,
51,Thalassoma_amblycephalum,
52,Thalassoma_lunare,
53,Thalassoma_noronhanum,
54,Thalassoma_bifasciatum,
55,Thalassoma_duperrey,
56,Thalassoma_grammaticum,
57,Thalassoma_rueppellii,
58,Thalassoma_genivittatum,
59,Thalassoma_lutescens,
60,Thalassoma_hebraicum,
61,Thalassoma_jansenii,
62,Thalassoma_hardwicke,
63,Thalassoma_quinquevittatum,
64,Gomphosus_varius,
65,Thalassoma_sanctaehelenae,
66,Thalassoma_ascensionis,
67,Thalassoma_newtoni,
68,Thalassoma_pavo,
69,Thalassoma_ballieui,
70,Thalassoma_septemfasciatum,
71,Pseudojuloides_cerasinus,
72,Pseudojuloides_atavai,
73,Anampses_chrysocephalus,
74,Anampses_melanurus,
75,Anampses_lineatus,
76,Anampses_neoguinaicus,
77,Anampses_caeruleopunctatus,
78,Anampses_lennardi,
79,Anampses_femininus,
80,Anampses_cuvier,
81,Anampses_meleagrides,
82,Anampses_twistii,
83,Anampses_geographicus,
84,Stethojulis_albovittata,
85,Stethojulis_bandanensis,
86,Stethojulis_balteata,
87,Stethojulis_trilineata,
88,Stethojulis_strigiventer,
89,Stethojulis_interrupta,
90,Sagittalarva_inornata,
91,Labroides_pectoralis,
92,Labroides_phthirophagus,
93,Labroides_bicolor,
94,Labroides_dimidiatus,
95,Labroides_rubrolabiatus,
96,Larabicus_quadrilineatus,
97,Diproctacanthus_xanthurus,
98,Labropsis_australis,
99,Labropsis_polynesica,
100,Labrichthys_unilineatus,
101,Hemigymnus_melapterus,
102,Hemigymnus_fasciatus,
103,Ophthalmolepis_lineolata,
104,Halichoeres_notospilus,
105,Halichoeres_adustus,
106,Halichoeres_rubrovirens,
107,Halichoeres_chierchiae,
108,Halichoeres_discolor,
109,Halichoeres_nicholsi,
110,Halichoeres_garnoti,
111,Halichoeres_cyanocephalus,
112,Halichoeres_brasiliensis,
113,Halichoeres_radiatus,
114,Halichoeres_poeyi,
115,Halichoeres_bivittatus,
116,Halichoeres_pictus,
117,Halichoeres_dispilus,
118,Halichoeres_sazimai,
119,Halichoeres_bathyphilus,
120,Halichoeres_burekae,
121,Halichoeres_socialis,
122,Oxyjulis_californica,
123,Halichoeres_semicinctus,
124,Pseudocoris_bleekeri,
125,Coris_formosa,
126,Coris_cuvieri,
127,Coris_gaimard,
128,Pseudocoris_aurantiofasciata,
129,Pseudocoris_heteroptera,
130,Pseudocoris_yamashiroi,
131,Coris_caudimacula,
132,Coris_dorsomacula,
133,Coris_bulbifrons,
134,Coris_aygula,
135,Coris_flavovittata,
136,Coris_auricularis,
137,Coris_picta,
138,Coris_atlantica,
139,Coris_julis,
140,Hologymnosus_annulatus,
141,Hologymnosus_doliatus,
